what,kind,bundleId,bundleVersion,description,time
java.specification.vendor,sysinfo,,,"Oracle Corporation",1518616532536
java.specification.version,sysinfo,,,"1.8",1518616532536
java.vendor,sysinfo,,,"Oracle Corporation",1518616532536
java.version,sysinfo,,,"1.8.0_65",1518616532536
java.vm.info,sysinfo,,,"mixed mode",1518616532536
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1518616532536
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1518616532536
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1518616532536
java.vm.specification.version,sysinfo,,,"1.8",1518616532536
java.vm.vendor,sysinfo,,,"Oracle Corporation",1518616532536
java.vm.version,sysinfo,,,"25.65-b01",1518616532536
deactivated,workbench,org.eclipse.ui.workbench,3.110.1.v20170704-1208,"",1518616535223
started,bundle,org.eclipse.mylyn.team.ui,3.23.0.v20170411-2108,"org.eclipse.mylyn.team.ui",1518616543197
started,bundle,org.eclipse.mylyn.builds.ui,1.15.0.v20170411-2141,"org.eclipse.mylyn.builds.ui",1518616543205
started,bundle,org.eclipse.buildship.stsmigration,2.1.2.v20170807-1324,"org.eclipse.buildship.stsmigration",1518616543297
started,bundle,org.eclipse.epp.mpc.ui,1.1.1.I20110907-0947,"org.eclipse.epp.mpc.ui",1518616543486
started,bundle,org.eclipse.oomph.predicates.edit,1.8.0.v20170318-0419,"org.eclipse.oomph.predicates.edit",1518616543690
started,bundle,org.eclipse.oomph.resources,1.8.0.v20170318-0419,"org.eclipse.oomph.resources",1518616543721
started,bundle,org.eclipse.oomph.workingsets,1.8.0.v20170318-0419,"org.eclipse.oomph.workingsets",1518616543788
started,bundle,org.eclipse.oomph.predicates,1.8.0.v20170327-1117,"org.eclipse.oomph.predicates",1518616543808
started,bundle,org.eclipse.oomph.workingsets.editor,1.8.0.v20170327-1117,"org.eclipse.oomph.workingsets.editor",1518616543840
