what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.jdt.ui,3.13.1.v20170822-1011,"org.eclipse.jdt.ui.edit.text.java.toggle.comment",1517493089716
executed,command,org.eclipse.ui,3.109.0.v20170411-1742,"org.eclipse.ui.file.save",1517493092708
deactivated,workbench,org.eclipse.ui.workbench,3.110.1.v20170704-1208,"",1517493094463
activated,workbench,org.eclipse.ui.workbench,3.110.1.v20170704-1208,"",1517493102387
executed,command,org.eclipse.jdt.ui,3.13.1.v20170822-1011,"org.eclipse.jdt.ui.edit.text.java.toggle.comment",1517493103371
executed,command,org.eclipse.ui,3.109.0.v20170411-1742,"org.eclipse.ui.file.save",1517493110949
deactivated,workbench,org.eclipse.ui.workbench,3.110.1.v20170704-1208,"",1517493113557
activated,workbench,org.eclipse.ui.workbench,3.110.1.v20170704-1208,"",1517493139012
executed,command,org.eclipse.jdt.ui,3.13.1.v20170822-1011,"org.eclipse.jdt.ui.edit.text.java.toggle.comment",1517493153213
executed,command,org.eclipse.jdt.ui,3.13.1.v20170822-1011,"org.eclipse.jdt.ui.edit.text.java.toggle.comment",1517493163700
executed,command,org.eclipse.ui,3.109.0.v20170411-1742,"org.eclipse.ui.file.save",1517493168303
deactivated,workbench,org.eclipse.ui.workbench,3.110.1.v20170704-1208,"",1517493170350
activated,workbench,org.eclipse.ui.workbench,3.110.1.v20170704-1208,"",1517493173865
deactivated,workbench,org.eclipse.ui.workbench,3.110.1.v20170704-1208,"",1517493253158
activated,workbench,org.eclipse.ui.workbench,3.110.1.v20170704-1208,"",1517493475893
activated,editor,org.eclipse.jdt.ui,3.13.1.v20170822-1011,"org.eclipse.jdt.ui.CompilationUnitEditor",1517493484594
activated,editor,org.eclipse.jdt.ui,3.13.1.v20170822-1011,"org.eclipse.jdt.ui.CompilationUnitEditor",1517493488237
executed,command,org.eclipse.jdt.ui,3.13.1.v20170822-1011,"org.eclipse.jdt.ui.edit.text.java.toggle.comment",1517493491343
activated,editor,org.eclipse.jdt.ui,3.13.1.v20170822-1011,"org.eclipse.jdt.ui.CompilationUnitEditor",1517493493053
activated,editor,org.eclipse.jdt.ui,3.13.1.v20170822-1011,"org.eclipse.jdt.ui.CompilationUnitEditor",1517493497063
activated,editor,org.eclipse.jdt.ui,3.13.1.v20170822-1011,"org.eclipse.jdt.ui.CompilationUnitEditor",1517493501891
activated,editor,org.eclipse.jdt.ui,3.13.1.v20170822-1011,"org.eclipse.jdt.ui.CompilationUnitEditor",1517493506626
activated,editor,org.eclipse.jdt.ui,3.13.1.v20170822-1011,"org.eclipse.jdt.ui.CompilationUnitEditor",1517493509859
activated,editor,org.eclipse.jdt.ui,3.13.1.v20170822-1011,"org.eclipse.jdt.ui.CompilationUnitEditor",1517493519234
executed,command,org.eclipse.jdt.ui,3.13.1.v20170822-1011,"org.eclipse.jdt.ui.edit.text.java.toggle.comment",1517493525016
executed,command,org.eclipse.ui,3.109.0.v20170411-1742,"org.eclipse.ui.file.save",1517493528703
deactivated,workbench,org.eclipse.ui.workbench,3.110.1.v20170704-1208,"",1517493530876
activated,workbench,org.eclipse.ui.workbench,3.110.1.v20170704-1208,"",1517494690174
executed,command,org.eclipse.jdt.ui,3.13.1.v20170822-1011,"org.eclipse.jdt.ui.edit.text.java.toggle.comment",1517494701001
executed,command,org.eclipse.ui,3.109.0.v20170411-1742,"org.eclipse.ui.file.saveAll",1517494703158
deactivated,workbench,org.eclipse.ui.workbench,3.110.1.v20170704-1208,"",1517494706175
activated,workbench,org.eclipse.ui.workbench,3.110.1.v20170704-1208,"",1517494745861
activated,view,org.eclipse.jdt.ui,3.13.1.v20170822-1011,"org.eclipse.jdt.ui.PackageExplorer",1517494745892
opened,editor,org.eclipse.jdt.ui,3.13.1.v20170822-1011,"org.eclipse.jdt.ui.CompilationUnitEditor",1517494763256
activated,editor,org.eclipse.jdt.ui,3.13.1.v20170822-1011,"org.eclipse.jdt.ui.CompilationUnitEditor",1517494763397
deactivated,workbench,org.eclipse.ui.workbench,3.110.1.v20170704-1208,"",1517494785491
activated,workbench,org.eclipse.ui.workbench,3.110.1.v20170704-1208,"",1517494796595
activated,view,org.eclipse.ui.console,3.7.1.v20170728-0806,"org.eclipse.ui.console.ConsoleView",1517494796643
